id,network_code,station_code,location_code,channels,latitude,longitude,elevation
BK.HAS2.00,BK,HAS2,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.38546,-121.56139,603.8
BK.HERB.,BK,HERB,,"BL1,BL2,BL3,HL1,HL2,HL3",38.01239,-122.262169,-18.0
BK.KNEE.00,BK,KNEE,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.71519,-123.90112,892.2
BK.HATC.,BK,HATC,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",40.816101,-121.461166,1009.3
BK.HAYF.00,BK,HAYF,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.5227,-123.23198,776.6
BK.LSIB.00,BK,LSIB,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.39735,-121.42345,1890.8
BK.CMB.,BK,CMB,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",38.03455,-120.386513,697.0
BK.DRDG.00,BK,DRDG,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.16819,-119.96892,2136.7
BK.MHC.00,BK,MHC,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.34164,-121.64257,1250.4
BK.MHDL.00,BK,MHDL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ",37.842319,-122.494308,94.5
BK.MNDO.00,BK,MNDO,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.31418,-123.74511,179.4
BK.MMI.00,BK,MMI,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.41964,-119.74378,1307.7
BK.MILL.00,BK,MILL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.70532,-124.04106,560.5
BK.PETB.40,BK,PETB,40,"BN1,BN2,BN3,HN1,HN2,HN3",38.1189,-122.501099,-30.0
BK.SIGP.00,BK,SIGP,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.87266,-124.06781,547.6
NC.BBN.03,NC,BBN,03,EHZ,36.509533,-121.077087,412.0
NC.BCWB.20,NC,BCWB,20,"HNE,HNN,HNZ",36.305137,-121.565843,1507.0
NC.BJF.01,NC,BJF,01,"EHZ,HNE,HNN,HNZ",36.29283,-121.40327,722.0
NC.C012.01,NC,C012,01,"HNE,HNN,HNZ",37.926361,-122.312477,36.0
NC.C018.01,NC,C018,01,"HNE,HNN,HNZ",37.979298,-122.117378,90.0
NC.C026.01,NC,C026,01,"HNE,HNN,HNZ",37.870518,-122.051353,89.0
NC.C039.01,NC,C039,01,"HNE,HNN,HNZ",37.467072,-121.911598,27.0
NC.C048.01,NC,C048,01,"HNE,HNN,HNZ",37.575089,-121.991661,15.0
NC.C059.01,NC,C059,01,"HNE,HNN,HNZ",37.342571,-121.772369,244.0
NC.C066.01,NC,C066,01,"HNE,HNN,HNZ",37.913239,-122.285843,153.0
BK.RAMR.00,BK,RAMR,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",35.635971,-120.869843,416.8
BK.TRAM.00,BK,TRAM,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",35.67691,-120.270927,642.0
BK.WHMT.00,BK,WHMT,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.5716,-122.02018,1847.8
NC.ARR.,NC,ARR,,EHZ,38.764992,-121.172455,100.0
NC.BAV.,NC,BAV,,"EHZ,ELE,ELN,ELZ",36.645954,-121.030151,572.0
NC.BJO.,NC,BJO,,EHZ,36.610981,-121.314194,1021.0
NC.BPE.01,NC,BPE,01,"HNE,HNN,HNZ",36.405915,-121.491651,1354.3
NC.BPP.,NC,BPP,,EHZ,36.168667,-121.377998,1591.0
NC.BPV.01,NC,BPV,01,"EHZ,HNE,HNN,HNZ",36.70522,-121.25906,381.0
NC.C040.01,NC,C040,01,"HNE,HNN,HNZ",37.989658,-122.314095,53.0
NC.C042.01,NC,C042,01,"HNE,HNN,HNZ",37.822262,-122.127678,150.0
NC.CBSB.01,NC,CBSB,01,"EHZ,HNE,HNN,HNZ",37.817783,-121.641296,28.0
NC.CBW.,NC,CBW,,EHZ,37.924091,-122.107628,201.0
NC.CBZ.,NC,CBZ,,"EHZ,ELE,ELN",37.691116,-121.717201,145.0
NC.CCO.,NC,CCO,,"BNE,BNN,EHZ,HNE,HNN",37.258217,-121.674568,329.0
NC.CCOB.,NC,CCOB,,"EHE,EHN,EHZ,HNE,HNN,HNZ",37.258984,-121.673119,371.0
BK.MOGU.00,BK,MOGU,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.83072,-122.4205,825.3
BK.MTOS.00,BK,MTOS,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.504902,-121.327797,310.0
BK.BL67.00,BK,BL67,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.87492,-122.243179,736.2
BK.BRIB.S1,BK,BRIB,S1,"HNE,HNN,HNZ",37.919319,-122.152687,237.0
BK.BRIB.00,BK,BRIB,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.918861,-122.151787,219.7
BK.ALVW.00,BK,ALVW,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.04906,-120.47143,41.8
BK.BCCR.S0,BK,BCCR,S0,"HNE,HNN,HNZ",39.81856,-121.73417,518.8
BK.BRIT.00,BK,BRIT,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.03541,-121.6497,843.5
BK.ATP.S0,BK,ATP,S0,"HNE,HNN,HNZ",38.34791,-122.42708,472.1
BK.BKS.00,BK,BKS,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.876221,-122.23558,243.9
BK.BONV.00,BK,BONV,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.98742,-123.34856,196.9
BK.BRIB.01,BK,BRIB,01,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.919319,-122.152687,237.0
BK.DCMP.01,BK,DCMP,01,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.46897,-123.337498,450.0
BK.DLIK.00,BK,DLIK,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.45543,-122.89424,1293.0
BK.GHOP.00,BK,GHOP,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.30643,-123.97797,1028.9
BK.HOPS.00,BK,HOPS,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.993488,-123.072342,299.1
BK.LLNL.S0,BK,LLNL,S0,"HNE,HNN,HNZ",37.68188,-121.71675,185.0
BK.CMSB.00,BK,CMSB,00,"HNE,HNN,HNZ",37.871948,-122.251678,94.7
BK.CRQB.,BK,CRQB,,"BL1,BL2,BL3,HL1,HL2,HL3",38.055779,-122.224869,-25.0
BK.DCMP.00,BK,DCMP,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.46897,-123.337498,450.0
BK.FARB.00,BK,FARB,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.697819,-123.001099,-18.5
BK.JAS1.,BK,JAS1,,BHZ,37.926628,-120.421028,398.1
BK.JRSC.,BK,JRSC,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",37.403728,-122.238678,70.5
BK.KCC.00,BK,KCC,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.323631,-119.318703,888.1
BK.CMSB.,BK,CMSB,,"BL1,BL2,BL3,HL1,HL2,HL3",37.871948,-122.251678,94.7
BK.FARB.S0,BK,FARB,S0,"HNE,HNN,HNZ",37.697819,-123.001099,-18.5
